Grados,Signo_Zodiacal,Sustancia_Homeopatica
00,Aries,LOBELIA INFLATA
01,Aries,EQUISETUM ARVENSE
02,Aries,BROMUM
02,Aries,IGNATIA AMARA
02,Aries,YESO CRISTALIZADO
03,Aries,BELLIS PERENNIS
03,Aries,CLEMATIS ERECTA
05,Aries,ZINCUM METALLICUM
06,Aries,ARTEMISIA ABSINTHIUM
07,Aries,SUPRARRENAL
09,Aries,ARSENICUM ALBUM
09,Aries,IRIS VERSICOLOR
10,Aries,NATRUM MURIATICUM
11,Aries,STANNUM METALLICUM
12,Aries,FORMICA RUFA
12,Aries,JABORANDI
13,Aries,PAREIRA BRAVA
13,Aries,COFFEA TOSTA
14,Aries,LACHESIS MUTUS
14,Aries,TARENTULA CUBENSIS
15,Aries,CARBO VEGETABILIS
15,Aries,ACTAEA RACEMOSA
16,Aries,AGARICUS MUSCARIUS
16,Aries,INFLUENZINUM
17,Aries,FERRUM PHOSPHORICUM
17,Aries,SANGUINARIA CANADENS.
17,Aries,BRYONIA
17,Aries,MAGNESIA SULFURICA
19,Aries,CIMOFANO
19,Aries,ARUM TRIPHYLLUM
20,Aries,VANADIUM METALLICUM
22,Aries,RHODODENDRON CHRYSANTHUM
22,Aries,CYNARA SCOLYMUS
23,Aries,SEPIA OFFICINALIS
25,Aries,CALCAREA FLUORICA
25,Aries,TOPACIO AZUL
27,Aries,VINCETOXICUM OFFICINALE
27,Aries,SCROFULARIA NODOSA
27,Aries,MANGANUM ACETICUM
27,Aries,BORAX
00,Tauro,AGRAPHIS NUTANS
01,Tauro,GLONOINUM
01,Tauro,URANIUM NITRICUM
06,Tauro,YUCCA FILAMENTOSA
07,Tauro,ARANEA DIADEMA
10,Tauro,CAULOPHYLLUM THALICTR.
12,Tauro,OXALICUM ACIDUM
14,Tauro,NAPHTALINUM
14,Tauro,AMMONIUM CARBONICUM
15,Tauro,NATRUM SULFURICUM
16,Tauro,PHYSOSTIGMA VENENOSUM
17,Tauro,HYOSCYAMUS NIGER
19,Tauro,RATANHIA
19,Tauro,PIX LIQUIDA
20,Tauro,PODOPHYLLUM PELTATUM
22,Tauro,MEZEREUM
22,Tauro,SELENIUM METALLICUM
23,Tauro,BERILO ROJO
23,Tauro,TOPACIO IMPERIAL
25,Tauro,RANUNCULUS BULBOSUS
26,Tauro,CUARZO
27,Tauro,DULCAMARA
28,Tauro,COLLINSONIA CANADENSIS
00,Geminis,EUPATORIUM PERFOLIATUM
03,Geminis,PANCREAS
06,Geminis,AESCULUS HIPPOCASTANUM
08,Geminis,CALCAREA CARBONICA
09,Geminis,BENZOICUM ACIDUM
13,Geminis,CORINDON BLANCO
13,Geminis,GRAPHITES
14,Geminis,RAPHANUS
16,Geminis,CINNABARIS
17,Geminis,ZINGIBER OFFICINALE
17,Geminis,DOLICHOS PRURIENS
20,Geminis,LEPIDOLITA
21,Geminis,KALIUM PHOSPHORICUM
21,Geminis,FUMARIA OFFICINALIS
22,Geminis,KALIUM IODATUM
22,Geminis,POLYGONUM AVICULARE
23,Geminis,TURMALINA NEGRA
24,Geminis,SYZYGIUM JAMBOLANUM
24,Geminis,PULMON
25,Geminis,ZINCUM ACETICUM
26,Geminis,CUPRUM ARSENICOSUM
26,Geminis,SARSAPARRILLA
27,Geminis,MEDORRHINUM
29,Geminis,ORIGANUM VULGARE
29,Geminis,GINGKO BILOBA
29,Geminis,DROSERA ROTUNDIFOLIA
00,Cancer,AMMONIUM MURIATICUM
00,Cancer,CANTHARIS
00,Cancer,CAPSICUM ANNUUM
02,Cancer,COLOCYNTHIS
02,Cancer,BARYTA CARBONICA
04,Cancer,DIGITALIS PURPUREA
04,Cancer,TUBERCULINUM RESIDUUM
04,Cancer,AURUM MURIATICUM
05,Cancer,THUYA OCCIDENTALIS
05,Cancer,RODOCROSITA
05,Cancer,FE-NI METEORITO
05,Cancer,AZURITA
06,Cancer,SPIGELIA ANTHELMIA
07,Cancer,NUX VOMICA
08,Cancer,SULFUR
09,Cancer,CACTUS GRANDIFLORUS
11,Cancer,JUGLANS REGIA
13,Cancer,APIS MELLIFICA
16,Cancer,TEUCRIUM MARUM
17,Cancer,ADULARIA
17,Cancer,PHOSPHORICUM ACIDUM
19,Cancer,A.R.N.
19,Cancer,STREPTOCOCCINUM
20,Cancer,CHELIDONIUM MAJUS
22,Cancer,ZIZIA AUREA
22,Cancer,CUARZO ARGENTIFERO
24,Cancer,TURMALINA INDIGOLITA
25,Cancer,SPONGIA TOSTA
25,Cancer,VALERIANA OFFICINALIS
27,Cancer,BOTHROPS LANCEOLATUS
27,Cancer,BELLADONNA
28,Cancer,APATITO
28,Cancer,GENTIANA LUTEA
02,Leo,MERCURIUS PROTOIODATUS
02,Leo,TURMALINA VERDE
04,Leo,PLANTAGO MAJOR
04,Leo,NUX MOSCHATA
06,Leo,HYPOTHALAMUS
06,Leo,STAPHYSAGRIA
06,Leo,LACHNANTHES TINCTORIA
07,Leo,AVIAIRE
07,Leo,ANTIMONIUM CRUDUM
08,Leo,MONACITA
11,Leo,TELLURIUM METALLICUM
11,Leo,CROTON TIGLIUM
11,Leo,HELONIAS DIOICA
12,Leo,LAC CANINUM
12,Leo,CYCLAMEN EUROPEUM
14,Leo,SABADILLA OFFICINARUM
17,Leo,ALLIUM CEPA
18,Leo,BARYTA MURIATICA
21,Leo,SAMBUCUS NIGRA
22,Leo,AETHUSA CYNAPIUM
23,Leo,VERATRUM ALBUM
23,Leo,GERMANIUM METALLICUM
26,Leo,CUPRUM METALLICUM
28,Leo,PLATINA
29,Leo,CALCAREA SULFURICA
03,Virgo,ARGENTUM METALLICUM
04,Virgo,OPIUM
05,Virgo,POLLENS
05,Virgo,PHYTOLACCA DECANDRA
06,Virgo,HELLEBORUS NIGER
07,Virgo,LITHIUM CARBONICUM
09,Virgo,SOLIDAGO VIRGA AUREA
10,Virgo,BERBERIS VULGARIS
10,Virgo,GELSEMIUM SEMPERVIRENS
11,Virgo,CROCUS SATIVUS
13,Virgo,AMBAR NARANJA
13,Virgo,RUTA GRAVEOLENS
14,Virgo,HEPAR SULFUR
15,Virgo,LUTHEINUM
18,Virgo,EUPHRASIA OFFICINALIS
19,Virgo,MANGANUM
23,Virgo,FORMICUM ACIDUM
26,Virgo,FERRUM MURIATICUM
27,Virgo,FLUORICUM ACIDUM
28,Virgo,BOVISTA GIGANTEA
01,Libra,STICTA PULMONARIA
01,Libra,VENUS MERCENARIA
02,Libra,LATHYRUS SATIVUS
03,Libra,MAGNESIA PHOSPHORICA
03,Libra,BERILO VERDE
06,Libra,HYDRASTIS CANADENSIS
06,Libra,ARNICA MONTANA
07,Libra,KALIUM BICHROMICUM
07,Libra,TARAXACUM DEN LEONIS
08,Libra,CHININUM SULFURICUM
08,Libra,CALADIUM SEGUINUM
10,Libra,SYMPHYTUM OFFICINALE
11,Libra,MERCURIUS CORROSIVUS
11,Libra,MUREX PURPUREA
12,Libra,PULSATILLA
13,Libra,COCCUS CACTI
14,Libra,KALIUM CARBONICUM
15,Libra,BAPTISIA TINCTORIA
15,Libra,ESPINELA AZUL
18,Libra,VINNUM
19,Libra,VIPERA REDI
20,Libra,ACTAEA SPICATA
20,Libra,ASA PHOETIDA
20,Libra,ALLIUM SATIVUM
22,Libra,PAEONIA OFFICINALIS
22,Libra,CORINDON AZUL
24,Libra,CUARZO AURIFERO
25,Libra,ANTIMONIUM TARTARICUM
26,Libra,MYRISTICA SEBIFERA
28,Libra,COCCULUS INDICUS
28,Libra,ULEXITA
28,Libra,ZINCUM VALERIANICUM
29,Libra,MEDICAGO SATIVA
00,Escorpio,MERCURIUS BIIODATUS
01,Escorpio,NATRUM PHOSPHORICUM
02,Escorpio,NATRUM IODATUM
03,Escorpio,RUMEX CRISPUS
04,Escorpio,DIOPTASA
04,Escorpio,KALIUM BROMATUM
04,Escorpio,ZINCUM MURIATICUM
05,Escorpio,LAPISLAZULI
05,Escorpio,HISTAMINUM
06,Escorpio,CANDIDA ALBICANS
06,Escorpio,EUGENIA JAMBOSA
07,Escorpio,THALLIUM SULFURICUM
09,Escorpio,ROBINIA PSEUDO-ACACIA
09,Escorpio,CORALLIUM RUBRUM
12,Escorpio,CHINA RUBRA
12,Escorpio,ALUMINA
14,Escorpio,CORINDON AMARILLO
14,Escorpio,HIERACIUM PILOSELLA
15,Escorpio,MERCURIUS CYANATUS
16,Escorpio,CORAL BLANCO
16,Escorpio,CUPRUM ACETICUM
20,Escorpio,IODUM
22,Escorpio,MAHONIA AQUIFOLIA
23,Escorpio,COFFEA CRUDA
25,Escorpio,LILIUM TIGRINUM
26,Escorpio,LYCOPODIUM CLAVATUM
29,Escorpio,SEROTONINUM
00,Sagitario,KALIUM MURIATICUM
01,Sagitario,PERIDOTO
02,Sagitario,URTICA URENS
03,Sagitario,CRATAEGUS OXYACANTHA
04,Sagitario,IPECA
04,Sagitario,PETROLEUM
05,Sagitario,AURUM METALLICUM
06,Sagitario,NERVIO PARASIMPATICO
06,Sagitario,CONDURANGO
06,Sagitario,PYROGENIUM
09,Sagitario,ZINCUM SULFURICUM
10,Sagitario,TABACUM
10,Sagitario,BLATTA ORIENTALIS
12,Sagitario,NICCOLUM METALLICUM
13,Sagitario,PICRICUM ACIDUM
14,Sagitario,ALOE
15,Sagitario,MERCURIUS SOLUBILIS
15,Sagitario,USTILAGO MAIDIS
16,Sagitario,CORINDON ROJO
17,Sagitario,TARENTULA HISPANA
18,Sagitario,HEKLA LAVA
19,Sagitario,VISCUM ALBUM
23,Sagitario,NITRICUM ACIDUM
24,Sagitario,ACHILLEA MILLEFOLIUM
25,Sagitario,STRONTIUM CARBONICUM
25,Sagitario,VIPERA BERUS
26,Sagitario,MURIATICUM ACIDUM
28,Sagitario,VIBURNUM OPULUS
28,Sagitario,BISMUTHUM
00,Capricornio,PULMON HISTAMINADO
01,Capricornio,HEMATITES
02,Capricornio,LATRODECTUS MACTANS
02,Capricornio,CALENDULA OFFICINALIS
03,Capricornio,GUAIACUM
03,Capricornio,LUESINUM
03,Capricornio,RHUS TOXICODENDRON
04,Capricornio,CHAMOMILLA VULGARIS
05,Capricornio,KALIUM SULFURICUM
07,Capricornio,CAUSTICUM
07,Capricornio,ARSENICUM IODATUM
09,Capricornio,CINA
09,Capricornio,ESPECTROLITA
13,Capricornio,MERCURIUS DULCIS
13,Capricornio,GALIUM APARINE
13,Capricornio,FLUORITA
17,Capricornio,SECALE CORNUTUM
17,Capricornio,SULFUR IODATUM
18,Capricornio,CANNABIS SATIVA
19,Capricornio,COBALTUM METALLICUM
19,Capricornio,MICA
22,Capricornio,VITEX AGNUS CASTUS
23,Capricornio,EUPHORBIUM
24,Capricornio,PLUMBUM METALLICUM
25,Capricornio,RAUWOLFIA SERPENTINA
25,Capricornio,CARDUUS MARIANUS
26,Capricornio,CHOLESTERINUM
26,Capricornio,PALLADIUM METALLICUM
26,Capricornio,MAGNESIA CARBONICA
29,Capricornio,GINSENG
29,Capricornio,TRIFILITA
29,Capricornio,AVENA SATIVA
00,Acuario,CAMPHORA
01,Acuario,SULFURICUM ACIDUM
03,Acuario,PHOSPHORUS TRIIODAT
04,Acuario,HAMAMELIS VIRGINIANA
05,Acuario,ALUMINIUM METALLICUM
05,Acuario,A.D.N.
05,Acuario,TUBERCULINUM
06,Acuario,ANAS BARBARIAE
07,Acuario,CEANOTHUS AMERICANUS
07,Acuario,CUPRESSUS SEMPERV.
08,Acuario,RICINUS COMMUNIS
09,Acuario,LYCOPUS VIRGINICUS
10,Acuario,BUFO RANA
10,Acuario,ABROTANUM
13,Acuario,CORINDON NEGRO ESTRELLADO
13,Acuario,DIOSCOREA VILLOSA
14,Acuario,SENNA
